doc_id,title,source_type,url,vigencia,filename
doc_001,REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA,pdf,https://www.ufro.cl,,data/raw/REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf
doc_002,ReglamentodeRegimendeEstudios  2023 ,pdf,https://www.ufro.cl,,data/raw/ReglamentodeRegimendeEstudios__2023_.pdf
